Topic,Difficulty,Question,Answer
Climate - Warm,Hard,Why are warm climates suitable for black grapes?,Higher temperatures increase sugar levels and create riper flavors
Making Wine - White,Hard,Why is pressing done before fermentation for white wines?,To separate juice from skins to avoid color and tannin extraction
Making Wine - Red/Rosé,Hard,Why does fermentation happen before draining for red wines?,Skins need contact with juice during fermentation to extract color and tannins
Making Wine - Red/Rosé,Hard,How is rosé different from red wine in production?,Skins are removed after only a few hours instead of full fermentation
Wine Types - Still,Medium,What is the typical ABV for most still wines?,11.5-14% ABV
Wine Types - Fortified,Hard,How are fortified wines made?,Extra alcohol is added (high-strength alcohol added before or during fermentation)
Wine Styles - White,Hard,Can you make white wine from black grapes?,Yes - if skins are separated from juice before fermentation
Wine Styles - Structure - Sweetness,Medium,What makes a wine dry?,All or most sugar has been converted to alcohol by yeast
Wine Styles - Structure - Sweetness,Hard,What makes a wine sweet?,Fermentation stops before yeast eats all the sugar
Wine Styles - Structure - Acidity,Hard,Why is acidity important in wine?,Gives refreshing characteristic and helps balance sweetness
Wine Styles - Structure - Acidity,Medium,What happens if wine has too much acidity?,Tastes unpleasant
Wine Styles - Structure - Acidity,Medium,What happens if wine doesn't have enough acidity?,It's not refreshing
Wine Styles - Structure - Tannin,Medium,Where do tannins come from?,Skins of grapes (especially black grapes) and oak
Wine Styles - Structure - Tannin,Medium,What do tannins feel like?,Bitter taste but more of a feel - makes mouth dry
Wine Styles - Structure - Body,Hard,What determines a wine's body?,Combination of alcohol level structural elements and flavor intensity
Wine Styles - Structure - Body,Medium,What body would a wine with low alcohol and light flavors have?,Light-bodied
Wine Styles - Structure - Body,Medium,What body would a wine with high alcohol and intense flavors have?,Full-bodied
Aromas & Flavors - Fruit,Hard,How does climate affect fruit aromas?,Cool climates: green/citrus fruits; Warm climates: stone/tropical fruits
Aromas & Flavors - Oak,Medium,What flavors does oak maturation add?,"Cedar, cloves, coconut, smoke, vanilla"
Aromas & Flavors - Oak,Medium,Can oak be used for fermentation or just maturation?,Both - wine can be fermented OR matured in oak
Grape Varieties - White - Chardonnay,Hard,Why is Chardonnay so versatile?,Can be made in many styles from unoaked/light to oaked/full-bodied
Grape Varieties - White - Chardonnay,Hard,What happens to Chardonnay in cool vs warm climates?,Cool: high acid light-medium body green fruit/citrus; Warm: medium acid medium-full body stone/tropical fruit
Grape Varieties - White - Chardonnay,Hard,Where does Chablis come from?,The coolest part of Burgundy France
Grape Varieties - White - Chardonnay,Medium,Is Chablis typically oaked?,Typically unoaked
Grape Varieties - White - Sauvignon Blanc,Hard,What is distinctive about Sauvignon Blanc's acidity?,Refreshingly high acidity
Grape Varieties - White - Sauvignon Blanc,Hard,Why is Sauvignon Blanc often unoaked?,To retain its pronounced aromas
Grape Varieties - White - Sauvignon Blanc,Medium,What are herbaceous aromas?,"Grass, green bell pepper, asparagus"
Grape Varieties - White - Pinot Grigio,Medium,What is the typical style of Pinot Grigio?,Light-bodied dry simple with high acidity
Grape Varieties - White - Pinot Grigio,Medium,Is Pinot Grigio typically oaked?,Usually fermented in stainless steel not oak
Grape Varieties - White - Riesling,Hard,Can Riesling be both dry and sweet?,Yes - ranges from dry to sweet but always has high acidity
Grape Varieties - White - Riesling,Hard,How does acidity help sweet Riesling?,High acidity balances the sweetness
Grape Varieties - White - Riesling,Medium,What country is Riesling most associated with?,Germany
Grape Varieties - Black - Cabernet Sauvignon,Hard,What is distinctive about Cabernet Sauvignon's structure?,High tannins and high acidity
Grape Varieties - Black - Cabernet Sauvignon,Hard,Why is Cabernet Sauvignon often blended?,High tannins - blending with Merlot adds softness and body
Grape Varieties - Black - Cabernet Sauvignon,Hard,What does Merlot add to Cabernet Sauvignon?,Softness and body
Grape Varieties - Black - Cabernet Sauvignon,Medium,What does Shiraz add when blended with Cabernet Sauvignon?,Aromas of spice
Grape Varieties - Black - Merlot,Medium,What is Merlot's typical tannin level?,Medium tannins
Grape Varieties - Black - Merlot,Hard,What does Merlot add when blended with Cabernet Sauvignon?,Tannins and acidity (Wait - this seems wrong based on notes - Merlot adds softness to Cab Sauv)
Grape Varieties - Black - Merlot,Medium,Where is Merlot most famous?,Bordeaux France
Grape Varieties - Black - Pinot Noir,Hard,What is distinctive about Pinot Noir's body and tannins?,Light-to-medium-bodied with low to medium tannins
Grape Varieties - Black - Pinot Noir,Medium,What region is most famous for Pinot Noir?,Burgundy France
Grape Varieties - Black - Pinot Noir,Medium,Is Pinot Noir usually blended for red wine?,No - not usually blended when making red wine
Grape Varieties - Black - Pinot Noir,Medium,What sparkling wine uses Pinot Noir?,Champagne (mixed with Chardonnay)
Grape Varieties - Black - Syrah/Shiraz,Easy,What is Syrah called in Australia?,Shiraz
Grape Varieties - Black - Syrah/Shiraz,Easy,What is Shiraz called in France?,Syrah
Grape Varieties - Black - Syrah/Shiraz,Medium,What spice flavors are common in Syrah/Shiraz?,"Black pepper, licorice"
Grape Varieties - Black - Syrah/Shiraz,Hard,How does Syrah/Shiraz differ between France and Australia?,France (Northern Rhône): medium-bodied fresh black fruit; Australia: full-bodied jammy black fruit
Regional Examples - Champagne,Medium,What grapes are used in Champagne?,Chardonnay and Pinot Noir
Regional Examples - Champagne,Hard,What are typical aromas in Champagne?,"Green fruits (apple), citrus (lemon), toasted bread"
Regional Examples - Champagne,Medium,Is Champagne typically dry or sweet?,Typically dry
Regional Examples - Sancerre,Medium,What grape is Sancerre made from?,Sauvignon Blanc
Regional Examples - Sancerre,Medium,Is Sancerre oaked?,Typically unoaked
Regional Examples - Chablis,Medium,What grape is Chablis made from?,Chardonnay
Regional Examples - Chablis,Medium,Is Chablis oaked?,Typically unoaked
Regional Examples - Burgundy - White,Medium,What grape are white Burgundy wines made from?,Chardonnay
Regional Examples - Burgundy - White,Medium,Can white Burgundy be oaked?,Yes - can be oaked or unoaked
Regional Examples - Burgundy - Red,Medium,What grape are red Burgundy wines made from?,Pinot Noir
Regional Examples - Bordeaux,Hard,What grapes are typically blended in Bordeaux?,Cabernet Sauvignon and Merlot
Regional Examples - Bordeaux,Medium,Are most Bordeaux wines red or white?,Most often red
Regional Examples - Prosecco,Easy,What country is Prosecco from?,Italy
Regional Examples - Prosecco,Easy,Is Prosecco still or sparkling?,Sparkling
Regional Examples - Cava,Easy,What country is Cava from?,Spain
Regional Examples - White Zinfandel,Medium,What type of wine is White Zinfandel?,Rosé (not white despite the name)
Regional Examples - White Zinfandel,Easy,What country is White Zinfandel from?,California USA
Regional Examples - Beaujolais,Easy,What country/region is Beaujolais from?,France
Regional Examples - Beaujolais,Medium,Is Beaujolais oaked?,Unoaked
Regional Examples - Chianti,Easy,What country is Chianti from?,Italy
Regional Examples - Chianti,Medium,What is distinctive about Chianti's structure?,High tannin and high acidity
Regional Examples - Rioja,Easy,What country is Rioja from?,Spain
Regional Examples - Châteauneuf-du-Pape,Medium,What country/region is Châteauneuf-du-Pape from?,France
Regional Examples - Châteauneuf-du-Pape,Medium,What is distinctive about Châteauneuf-du-Pape?,Full-bodied with high alcohol
Regional Examples - Sauternes,Medium,What region is Sauternes from?,Bordeaux France
Regional Examples - Sauternes,Easy,Is Sauternes dry or sweet?,Sweet
Regional Examples - Sherry,Easy,What country is Sherry from?,Spain
Regional Examples - Sherry,Easy,Is Sherry still or fortified?,Fortified
Regional Examples - Port,Easy,What country is Port from?,Portugal
Regional Examples - Port,Medium,Is Port typically red or white?,Typically red
Glassware,Medium,Why should wine glasses be narrow at the rim?,Allows for concentrated aromas
Glassware,Medium,Why are red wine glasses larger than white wine glasses?,Allows more air contact and aroma development
Glassware,Easy,What type of glass is used for sparkling wine?,Flutes
Glassware,Easy,Why should glassware be polished?,To ensure it's clean and free of residue that could affect taste
Opening Wine - Still,Medium,What should you do before opening a still wine bottle?,Remove top of capsule and clean neck of bottle with cloth
Opening Wine - Still,Easy,What should you do after removing the cork?,Wipe inside and outside of neck with a cloth
Opening Wine - Sparkling,Medium,Why should sparkling wine be chilled before opening?,Helps reduce pressure (though not all)
Opening Wine - Sparkling,Hard,What should always be in your hand when opening sparkling wine?,The cork - from the time you remove wire cage
Opening Wine - Sparkling,Hard,Do you turn the cork or the bottle when opening sparkling wine?,Turn the bottle (while holding the cork)
Opening Wine - Sparkling,Medium,What angle should you hold the bottle when opening sparkling wine?,At an angle
Serving Wine - Appearance,Easy,What does it mean if wine is hazy?,Could indicate a problem with the wine
Serving Wine - Appearance,Easy,Should there be bits floating in wine?,No - check that there are not bits floating
Serving Wine - Aroma,Easy,What are bad aromas in wine?,"Stale, cardboard, vinegar"
Keeping Wine Fresh,Easy,When does wine start to stale?,Slowly starts to stale as soon as it is opened
Keeping Wine Fresh,Easy,Where should opened wine be kept?,In fridge with cork
Tasting - Preparation,Medium,Why use a white surface when tasting?,To help assess appearance of the wine
Tasting - Preparation,Medium,What type of glass is best for tasting?,Glass with wide bowl that narrows at the top
Tasting - Preparation,Medium,Why should you avoid toothpaste and coffee before tasting?,They linger on palate and affect taste perception
Food Pairing - Sweet Food,Hard,If food is sweet what happens to wine sweetness?,Wine seems less sweet
Food Pairing - Sweet Food,Hard,If food is sweet what happens to wine acidity?,Wine seems more acidic
Food Pairing - Sweet Food,Hard,If food is sweet what happens to wine bitterness?,Wine seems more bitter
Food Pairing - Umami Food,Hard,If food has umami what happens to wine sweetness?,Wine seems less sweet
Food Pairing - Umami Food,Hard,If food has umami what happens to wine fruitiness?,Wine seems less fruity
Food Pairing - Salty Food,Hard,If food is salty what happens to wine bitterness?,Wine seems less bitter
Food Pairing - Salty Food,Hard,If food is salty what happens to wine body?,Wine seems to have more body
Food Pairing - Acidic Food,Hard,If food is acidic what happens to wine acidity?,Wine seems less acidic
Food Pairing - Acidic Food,Hard,If food is acidic what happens to wine sweetness?,Wine seems more sweet
Food Pairing - Highly Flavored,Medium,What is the risk with highly flavored food?,Wine might be overwhelmed
Food Pairing - Fatty,Medium,What does fatty/oily food do to wine acidity?,Wine seems less acidic
Food Pairing - Hot/Chili,Hard,What does hot/spicy food do to alcohol perception?,Alcohol seems more apparent
Food Pairing - Hot/Chili,Hard,What does hot/spicy food do to heat perception?,Seems to increase the heat from the chili
Comparison - Chardonnay vs Sauvignon Blanc,Hard,Which is typically more aromatic - Chardonnay or Sauvignon Blanc?,Sauvignon Blanc has more pronounced aromas
Comparison - Chardonnay vs Sauvignon Blanc,Hard,Which is more likely to be oaked - Chardonnay or Sauvignon Blanc?,Chardonnay
Comparison - Cabernet Sauvignon vs Merlot,Hard,Which has higher tannins - Cabernet Sauvignon or Merlot?,Cabernet Sauvignon
Comparison - Cabernet Sauvignon vs Merlot,Medium,Which is softer - Cabernet Sauvignon or Merlot?,Merlot
Comparison - Pinot Noir vs Cabernet Sauvignon,Medium,Which is lighter-bodied - Pinot Noir or Cabernet Sauvignon?,Pinot Noir
Comparison - Pinot Noir vs Cabernet Sauvignon,Medium,Which has lower tannins - Pinot Noir or Cabernet Sauvignon?,Pinot Noir
Comparison - Cool vs Warm Climate,Hard,Which climate produces higher acidity?,Cool climate
Comparison - Cool vs Warm Climate,Hard,Which climate produces higher sugar levels?,Warm climate
Comparison - Cool vs Warm Climate,Medium,Which climate is better for white grapes?,Cool climate
Comparison - Cool vs Warm Climate,Medium,Which climate is better for black grapes?,Warm climate
Identification - By Color,Medium,If a wine is golden what type is it likely?,White wine
Identification - By Color,Medium,If a wine is purple what type is it likely?,Young red/black grape wine
Identification - By Acidity,Easy,If a wine makes your mouth water what does it have?,High acidity
Identification - By Tannin,Easy,If a wine makes your mouth dry what does it have?,Tannins (from skins or oak)
Identification - By Body,Medium,If a wine feels thick and syrupy what characteristic does it have?,Full-bodied and/or sweet
Identification - By Aroma,Hard,If you smell green apple what grape might it be?,"Chardonnay (cool climate), Sauvignon Blanc, or Riesling"
Identification - By Aroma,Hard,If you smell blackcurrant what grape might it be?,Cabernet Sauvignon
Identification - By Aroma,Hard,If you smell black pepper/spice what grape might it be?,Syrah/Shiraz
Identification - By Aroma,Medium,If you smell vanilla or coconut what does it indicate?,Oak maturation
Identification - By Aroma,Hard,If you smell grass or green bell pepper what grape might it be?,Sauvignon Blanc or Cabernet Sauvignon
